,OSA,Healthy
Abd-O2a,0.0007365961229576862,0.001235309542898732
Abd-O2s,0.0005680960419953884,0.0010841889358844704
Abd-O2b,0.0005112078278588675,0.0010279032116863125
Chin-Leg,0.0032950690932510643,0.006306108606591321
Chin-Eye1,0.0007597901185060348,0.0013297742473874787
Chin-Eye2,0.001267965560668002,0.001387653549626625
Chin-FLd,0.004748373394159975,0.009131578541815262
Chin-FLt,0.003056843406322352,0.0051452835833782195
Chin-FLa,0.0031711532243527997,0.008253291767620432
Chin-FLs,0.0045024460078513795,0.011198407148417664
Chin-FLb,0.00482375468525865,0.010104532322052193
Chin-C3d,0.005198227371065477,0.010430880111035322
Chin-C3t,0.002727636972145615,0.004290295043706446
Chin-C3a,0.003163536470173618,0.006963174928171336
Chin-C3s,0.003326248494634203,0.006713434599609228
Chin-C3b,0.0049934771527866025,0.009984149737537537
Chin-O1d,0.004375036325799447,0.010569340950463413
Chin-O1t,-0.00017531847524750662,-2.5395717412615747e-05
Chin-O1a,0.0036821884917025913,0.009055483142819381
Chin-O1s,0.0032209752146702434,0.006664733651696666
Chin-O1b,0.003693817679847747,0.008352318668099502
Chin-FRd,0.004606658504348141,0.008988436489746784
Chin-FRt,0.0007391886307411377,0.0022542389703526905
Chin-FRa,0.0019455306958073276,0.0046437136079887755
Chin-FRs,0.0027070203218527555,0.00556059337775952
Chin-FRb,0.0037450033796505903,0.007990017995173805
Chin-C4d,0.005361725658641113,0.011272916679238512
Chin-C4t,0.0011741557090835324,0.0021263267031974634
Chin-C4a,0.003496781497632815,0.0077645530476118125
Chin-C4s,0.003124627378451488,0.009001974045071111
Chin-C4b,0.0024833258150975305,0.006086125462098495
Chin-O2d,0.005047560397293452,0.009838682971038425
Chin-O2t,0.002662747903336906,0.005612195145432325
Chin-O2a,0.0033027852689785503,0.008432017803350662
Chin-O2s,0.004325359764011809,0.01275137236951093
Chin-O2b,0.004421626794251033,0.010362575429082092
Leg-Eye1,-0.004615320480763517,-0.0030497611642531118
Leg-Eye2,0.0003981985979272072,0.0008746273230468818
Leg-FLd,-0.002790308151187129,-0.0026196922523144153
Leg-FLt,0.002617826391544147,0.004453404053508442
Leg-FLa,0.0021018453453131654,0.0037984571042356573
Leg-FLs,0.00264134555505116,0.005505106683466471
Leg-FLb,0.003716898979487457,0.00673506028477702
Leg-C3d,0.00010918959106738842,0.0007212855400233262
Leg-C3t,0.0015344522592705468,0.002778924926747114
Leg-C3a,0.002418950130016635,0.0049654397697091865
Leg-C3s,0.0031183405095491514,0.006171104026803595
Leg-C3b,0.004187328720793905,0.008780014285249937
Leg-O1d,0.0010018399438065262,0.0019679208212153064
Leg-O1t,0.0013839452011713649,0.0023459233064383684
Leg-O1a,0.002631957709002362,0.006421303962515936
Leg-O1s,0.002926685611283419,0.005122537512608779
Leg-O1b,0.003393896737488425,0.007334752983533184
Leg-FRd,0.0009444460990226085,0.0020661183652824107
Leg-FRt,0.0019111951808283803,0.003626508289583369
Leg-FRa,0.000892524111167165,0.0016079613091077756
Leg-FRs,0.002259340747323509,0.004934318080008734
Leg-FRb,0.004471300175496084,0.009255473460837431
Leg-C4d,0.00209218569508582,0.0035383786797141973
Leg-C4t,0.002221646652372381,0.0048547143772981905
Leg-C4a,0.0015440007894748445,0.0034276539438978285
Leg-C4s,0.0029969677422873185,0.006564973262258286
Leg-C4b,0.004506111220968208,0.009888825510167268
Leg-O2d,0.002063113884926684,0.0037008628168735984
Leg-O2t,0.0019142932455500452,0.0033441536210881127
Leg-O2a,0.0017503431782238392,0.0039687441467128465
Leg-O2s,0.003221351952482826,0.007567123352902877
Leg-O2b,0.0037411442810385944,0.008760720164012399
Eye1-Eye2,-0.0019485330661011366,-0.0007154581596225191
Eye1-FLd,-0.001628239797664925,0.00035263475930929523
Eye1-FLt,0.0046508251246969905,0.00781532559353153
Eye1-FLa,0.0025989140517938196,0.004276906688408585
Eye1-FLs,0.0005322322189695198,0.0011125925462571937
Eye1-FLb,-0.0006345341521800625,-4.2874499847326544e-05
Eye1-C3d,-0.004715046424908734,-0.0037417300516229676
Eye1-C3t,-0.003468459500315496,-0.0026669657015188333
Eye1-C3a,-0.000460136738015235,-0.0005167770682615137
Eye1-C3s,-0.0016735184375521947,-0.001775141430801156
Eye1-C3b,-0.0035727616038928904,-0.0027220868786266813
Eye1-O1d,-0.005853938740574375,-0.004809434699243417
Eye1-O1t,-0.0046165424838075396,-0.004148799447704306
Eye1-O1a,0.0013635997057372964,0.002260831554290225
Eye1-O1s,-0.0022206394649572025,-0.002125318891693039
Eye1-O1b,-0.0006955636357063668,-0.00047299363135200307
Eye1-FRd,0.001204623823003327,0.004197224450450408
Eye1-FRt,0.0029803513070104375,0.004053677887705785
Eye1-FRa,0.002207549985093456,0.00282395266979187
Eye1-FRs,-0.0022336312450185053,-0.002004617503736467
Eye1-FRb,-0.0008585008170631416,-2.398333545106709e-06
Eye1-C4d,-0.0025147539218498827,-0.0013173826822998284
Eye1-C4t,-0.002311353708833258,-0.0022563817160778455
Eye1-C4a,-0.001390828977667263,-0.0011819912539622942
